kepoi_name,kepler_name,catalog,p_planet,verdict,unseen,ra,dec,koi_period,koi_prad,koi_teq,koi_depth,koi_duration,koi_model_snr,koi_insol,koi_impact,koi_count,koi_steff,koi_srad,koi_kepmag,duty_cycle,dicco_offset_sig,prad_over_srad
K01126.02,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,False,297.75311,41.675991,475.91706,28.22,221.0,967.3,22.86,15.3,0.56,1.222,2,5334.0,1.004,15.259,0.0020013991513563307,,0.2576312531724614
K01347.02,,FALSE POSITIVE,0.00793774964829584,FALSE POSITIVE,False,293.02036,42.508835,0.858285844,0.9,2274.0,43.4,1.799,10.8,6321.2,0.3323,2,5945.0,1.346,14.808,0.08733492910006953,63.0,0.0061287611866916
K01427.02,,CANDIDATE,0.6225108225108225,NEEDS REVIEW (ambiguous),True,287.85773,48.774109,4.88446644,0.84,579.0,221.0,2.057,9.1,26.5,0.776,2,3883.0,0.517,15.84,0.017547122983883855,2.478260869565217,0.0148923759899441
K01574.04,,CANDIDATE,0.47727272727272724,NEEDS REVIEW (ambiguous),True,297.91687,46.96513,8.9772888,1.79,1113.0,97.5,4.72,10.3,362.75,0.702,4,5597.0,1.699,14.6,0.02190713377369197,0.8749999999999999,0.009656837013631247
K01602.02,,CANDIDATE,0.9530807453416148,CONFIRMED,True,297.79691,39.921371,3.03359398,1.55,1529.0,95.6,4.026,12.3,1294.06,0.023,2,5557.0,1.616,14.943,0.05529744623240582,0.8051948051948051,0.00879155284914376
K01681.04,,CANDIDATE,0.49465367965367957,NEEDS REVIEW (ambiguous),True,291.285,40.730049,21.9139549,10.39,303.0,584.4,3.271,11.8,2.01,1.2,4,3638.0,0.42,15.855,0.006219400710123149,0.17021276595744683,0.22674697743442018
K01803.03,,FALSE POSITIVE,0.24174365291728633,NEEDS REVIEW (ambiguous),False,286.63553,39.488621,6.238315363,0.7,746.0,82.9,2.501,5.3,73.27,0.707,3,4914.0,0.724,13.26,0.016704563214518162,1.3611111111111112,0.008862060758288558
K01840.02,,CANDIDATE,0.2733333333333333,NEEDS REVIEW (ambiguous),True,295.8287,43.425491,9.3888216,20.91,963.0,192.7,4.154,9.6,202.91,1.14,2,5846.0,1.24,14.915,0.01843504336405043,0.5510204081632654,0.15456373259217646
K06321.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,287.17612,38.433498,2.115510941,191.42,2701.0,415160.0,7.2877,1351.5,12609.03,0.492,1,7563.0,2.638,12.119,0.14353703437862136,0.6716417910447761,0.6651012592518983
K06322.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,287.77148,38.498711,1.015044104,1.98,1979.0,158.2,10.994,33.6,3627.61,0.984,1,5910.0,1.124,14.956,0.45129401917429723,14.842857142857145,0.01614634130429819
K06323.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,289.6983,38.406609,3.711013336,55.69,1436.0,24989.0,3.31024,757.0,1003.75,1.192,1,6338.0,1.247,12.084,0.03716684748304733,2.4084507042253525,0.4093417235278509
K06324.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,290.14084,38.493809,2.97606298,5.65,2615.0,72.2,4.124,17.8,11065.06,0.363,1,5321.0,6.669,13.498,0.05773847344229702,1.7142857142857144,0.007765384773441121
K06325.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,False,290.16632,38.47644,2.97586085,0.85,1135.0,105.9,4.513,9.1,392.05,0.117,1,5481.0,0.835,15.669,0.063188998459611,1.4545454545454546,0.009330559778701078
K06326.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,290.73944,38.414139,14.658013949,121.59,855.0,129640.0,3.03316,3361.5,126.35,1.141,1,5146.0,1.626,13.391,0.008622018447136809,0.08955223880597014,0.6854133619246368
K06327.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,291.38623,38.49147,18.839487435,45.2,734.0,182720.0,5.62797,2003.1,68.54,0.421,1,6208.0,1.024,15.291,0.012447193736510487,0.1044776119402985,0.40458868010999083
K06328.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,291.86655,38.409081,0.555973803,1.9,3049.0,75.3,1.271,23.3,20544.64,0.563,1,5445.0,2.117,13.755,0.09525328899954183,,0.008226365327688603
